,,,,,,,,,,
,,,,,,,,,,
Sl. No.,Name of NGOs,Address,Reg. No,Reg. Date,Renewed on,Valid till,District,Country,Remarks,
1,3F-United Federation of Danish Workers,"Road-54, Houase-11/A, Apartment- B/4, Gulshan, Dhaka, Phone: 01764- 405244",2843,10-12-13,,10-12-18,Dhaka,Denmark,,
2,A Shelter for Helpless Ill Children (ASHIC),"House-52, Road-3/A, Dhanmondi, R/A, Dhaka Phone :9673982 www.ashic.org",1067,26-08-96,26-08-11,26-08-16,Dhaka,Bangladesh,,
3,A.B. Foundation,"Vill., Post + Upazilla: Chirirbandar, Dist: Dinajpur
Phone: 01711-530611",2024,05-04-05,05-04-10,05-04-15,Dinajpur,Bangladesh,,
4,A.M. Foster Care,"House-38, Road-04, Sector--05, Uttara Model Town, Dhaka-1230. Phone: 8963101",2397,22-12-08,,22-12-13,Dhaka,Bangladesh,,
5,Abalamban,"Pachimpara, Post: Gaibandha, Upazilla: Gaibandha Sadar, Dist.: Gaibandha.
Phone: 0541-62388",2326,27-03-08,27-03-13,27-03-18,Gaibandha,Bangladesh,,
6,Abdul Momen Khan Memorial Foundation (Khan Foundation),"5 Momenbagh, Dhaka-1217
Phone : 9330323",0780,04-12-93,04-12-13,04-12-18,Dhaka,Bangladesh,,
7,Abdur Rashid Khan Thakur Foundation,"Chapailghat Road, UZ+Zila: gopalganj-8100
Phone: 8034489, 01911-352919
www.arktf.org",2229,05-08-07,08-05-12,08-05-17,Gopalganj,Bangladesh,,
8,Abed Satter Pathen Foundation,"118 Isdair, Fatullah, Narayanganj Phone: 0190-251515",2842,03-12-13,,03-12-18,Narayanganj,Bangladesh,,
9,Abeda Mannan Foundation,"House-04, Flat-A (1st Floor), Road- 15, Block-D, Banani, Dhaka-1213 Phone: 8832921",2582,15-06-10,,15-06-15,Dhaka,Bangladesh,,
10,ABFA-USA-INC\,"House-27, Road-04, Section-04, Uttara, Dhaka.",2176,24-12-06,,24-12-11,Dhaka,USA,,
11,Abu Sobhan Welfare Trust,"House-29/A, Old DOHS Road, Banani, Dhaka.",2805,30-07-13,,30-07-18,Dhaka,Bangladesh,,
12,Academy for Educational Development (AED),"South Breeze, House-08, Gulshan Avenue, Gulshan-01, Dhaka.
Phone: 01714-174370",2514,08-11-09,,08-11-14,Dhaka,USA,,
13,Access Bangladesh Foundation,"10 Tarapur, Savar, Dhaka. Phone: 7743145, Fax: 7743480
www.accessbangladesh.org",2461,18-06-09,18-06-14,18-06-19,Dhaka,Bangladesh,,
14,ACDI/VOCA,"House-30, Road-19/A, Banani, Dhaka-1213
Phone: 8836801",2580,03-06-10,03-06-15,03-06-20,Dhaka,USA,,
